 r                    theta                       F_radial                      F_azimuthal
  0.66666666666000007       -1.73472348E-18 -0.22205312637006849       -3.6501848545761051E-002
  0.66666666666000007        2.45436933E-02 -0.24008552193335586       -3.7579510241277744E-002
  0.66666666666000007        4.90873866E-02 -0.25731206803803414       -3.5715646564399739E-002
  0.66666666666000007        7.36310780E-02 -0.27227287938893396       -3.2147457153432514E-002
  0.66666666666000007        9.81747732E-02 -0.28426334199605890       -2.8137004068046523E-002
  0.66666666666000007       0.122718461     -0.29350192288043236       -2.3535766331422014E-002
  0.66666666666000007       0.147262156     -0.29976084513414131       -1.6833729881060848E-002
  0.66666666666000007       0.171805844     -0.30224227983443597       -9.2210292534934037E-003
  0.66666666666000007       0.196349546     -0.30104963978383092       -2.6550592318826589E-003
  0.66666666666000007       0.220893234     -0.29651619681954172        4.1091257087823990E-003
  0.66666666666000007       0.245436922     -0.28867954230204734        1.0770673083248446E-002
  0.66666666666000007       0.269980609     -0.27811531638635723        1.6746284257914835E-002
  0.66666666666000007       0.294524312     -0.26503752594359753        2.3555554805321781E-002
  0.66666666666000007       0.319068015     -0.24920037680498658        3.0194004752635752E-002
  0.66666666666000007       0.343611687     -0.23078171951091592        3.6121143182401082E-002
  0.66666666666000007       0.368155390     -0.20990641936076138        4.3300688423001096E-002
  0.66666666666000007       0.392699093     -0.18683124235695084        5.0328762171604965E-002
  0.66666666666000007       0.417242765     -0.16289195046588598        5.4625011607504874E-002
  0.66666666666000007       0.441786468     -0.14042524708532475        5.5916296793330482E-002
  0.66666666666000007       0.466330171     -0.12051267149523132        5.7139220440183450E-002
  0.66666666666000007       0.490873843     -0.10345910380577533        5.4502721672423836E-002
  0.66666666666000007       0.515417516      -9.1646138899751275E-002   4.4006646806338180E-002
  0.66666666666000007       0.539961219      -8.5973280223945153E-002   3.5737877156173513E-002
  0.66666666666000007       0.564504921      -8.4885103485055527E-002   3.1024973327876827E-002
  0.66666666666000007       0.589048624      -8.6944360443975757E-002   2.8122745623007598E-002
  0.66666666666000007       0.613592327      -9.0441826929638772E-002   2.6913799971539022E-002
  0.66666666666000007       0.638136029      -9.5218292923951411E-002   2.3553858172251332E-002
  0.66666666666000007       0.662679672     -0.10140301355619705        2.2059156878576774E-002
  0.66666666666000007       0.687223375     -0.10796248038281871        2.1689338856538263E-002
  0.66666666666000007       0.711767077     -0.11472171216144277        2.1139324392920378E-002
  0.66666666666000007       0.736310780     -0.12158896214854074        2.1544401717863780E-002
  0.66666666666000007       0.760854483     -0.12799607381162834        2.1730969477236527E-002
  0.66666666666000007       0.785398185     -0.13376203749102789        2.1094480537696046E-002
  0.66666666666000007       0.809941828     -0.13871968680579977        2.1219002480721765E-002
  0.66666666666000007       0.834485531     -0.14247482965661193        2.2900746598848616E-002
